event,type,place,place1,date,time
Sizzle Sizzle Sizzle Festival,Food & Drink,Hard Rock Cafe, St Marks Road,"Mar 17, 2015 ",12:00 PM PM to 11:30 PM AM
Flavours Of Chettinad,Food & Drink,Spice It, Bellandur,"Mar 17, 2015 ",12:00 PM PM to 11:00 PM AM
Caribbean Carnival,Food & Drink,Latitude, Whitefield,"Mar 17, 2015 ",12:00 PM PM to 11:30 PM AM
Tragic Sequence,Nightlife,The Warehouse, Indiranagar,"Mar 18, 2015",08:00 PM AM Onwards
Atif Aslam: Live,Music & Dance,White Orchid, Hebbal,"Mar 18, 2015",08:00 PM AM Onwards
Kutlars Mime,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 18, 2015",08:00 PM AM Onwards
Jagged Surge,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 19, 2015",08:00 PM AM Onwards
Kamalamani Comedy Kalyana,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 19, 2015",07:30 PM AM Onwards
Deaftone And Cosmic Resonance,Nightlife,Vapour, Indiranagar,"Mar 19, 2015",08:00 PM AM Onwards
DJ Ivan: Live,Nightlife,M Bar, Whitefield,"Mar 20, 2015",08:00 PM AM Onwards
HVOB And Monikar: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 20, 2015",09:00 PM AM Onwards
Flavours Of Chettinad,Food & Drink,Spice It, Bellandur,"Mar 20, 2015",12:00 PM PM to 11:00 PM AM
BLaNK And Sapta: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 21, 2015",09:00 PM AM Onwards
Vatican Museums 3D,Films,Phoenix Market City, Whitefield,"Mar 21, 2015",04:00 PM AM Onwards
Future Underground: Johnny Depp,Nightlife,CounterCulture, Whitefield,"Mar 21, 2015",08:00 PM AM Onwards
Navya Kanyeyaru,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 22, 2015",07:30 PM AM Onwards
Pitcher Perfect,Standup & Theater,The Big Pitcher, Kodihalli,"Mar 22, 2015",08:30 PM AM Onwards
The Good The Bad And The Idly,Standup & Theater,Downtown Pub, Residency Road,"Mar 22, 2015",08:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
EDM Vibration Night - DJ Viju,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 18,
Wednesday Night - DJ Gokul,Nightlife - ,The Tao Terraces,M.G Road,Mar 18,
Commercial Night - DJ Viju & DJ Shawn,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 18,
High On Heels Night - DJ Villz & DJ John,Nightlife - ,Sanctum Club,Residency Road,Mar 18,
Wow Wednesday at WXYZ Bar,Nightlife - ,W XYZ Bar - Aloft Bengaluru Cessna Business Park,Kadubeesana Halli,Mar 18,
Rehab Night - DJ Chan,Nightlife - ,PUMA Social Club,Bangalore,Mar 18,
Get Down & Boogie Night - DJ Bobby,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 18,
Music Matters Night - Rohan Kapoor,Nightlife - ,The Sugar Factory - Le Meridien,Sankey Road,Mar 18,
Wow Wednesday at Nook,Nightlife - ,Nook - Aloft Bengaluru Cessna Business Park,Bangalore,Mar 18,
Wednesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Mar 18,
Videotheque Night - DJ Praful,Nightlife - ,The City Bar,Vittal Mallya Road,Mar 18,
Ladies Night with DJ Lij & Area,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 18,
Ladies Night - KJ Martin Dsouza,Nightlife - ,Love Shack,Domlur,Mar 18,
Breathe Music Night - Arin Ghosh,Nightlife - ,I-Bar - The Park,M.G Road,Mar 18,
Ladies Night - DJ Shane,Nightlife - ,Big Pitcher,Old Airport Road,Mar 18,
Halliyoora Hammeera - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 18,
Jus' Improv with the Improv Brew,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 21,
Blockbuster Holly-Bollywood Thodu Night with DJ Sash & DJ Julius,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 21,
One Nite Stand - Live at Hard Rock Cafe,Theatre & Arts - ,Hard Rock Cafe,St. Marks Road,Mar 21 - Mar 22,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
Maryade Prashne - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 21,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Ladies Night @ Zanzibar,Nightlife - ,ZanziBar,Madivala,Jan 21 - Dec 31,
"Monthly Music Concert by Vidushi, Dr. Hamsini Nagendra",Music & Concerts,Unnati Centre,Sadananda Nagar,Mar 22,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 22,
Bharatanatya Rangapravesha,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Ranga Ugadi 2015: Avasthe - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Sooryana Kudure - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Ananta Kaavya - Poetry Reading,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Ananta Katha Samaya - Story Reading,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi 2015: Mouni - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
Ranga Ugadi - In memory of U R Anantamurthy,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 22,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
event,type,place,place1,date,time
Sizzle Sizzle Sizzle Festival,Food & Drink,Hard Rock Cafe, St Marks Road,"Mar 18, 2015 ",12:00 PM PM to 11:30 PM AM
Flavours Of Chettinad,Food & Drink,Spice It, Bellandur,"Mar 18, 2015 ",12:00 PM PM to 11:00 PM AM
Caribbean Carnival,Food & Drink,Latitude, Whitefield,"Mar 18, 2015 ",12:00 PM PM to 11:30 PM AM
Jagged Surge,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 19, 2015",08:00 PM AM Onwards
Kamalamani Comedy Kalyana,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 19, 2015",07:30 PM AM Onwards
Deaftone And Cosmic Resonance,Nightlife,Vapour, Indiranagar,"Mar 19, 2015",08:00 PM AM Onwards
Ability Unlimited,Music & Dance,Phoenix Market City, Whitefield,"Mar 20, 2015",07:00 PM AM Onwards
World Storytelling Day Special,Arts & Crafts,Chavadi, Bannerghatta Road,"Mar 20, 2015",07:30 PM AM Onwards
DJ Ivan: Live,Nightlife,M Bar, Whitefield,"Mar 20, 2015",08:00 PM AM Onwards
Maryade Prashne,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 21, 2015",07:30 PM AM Onwards
BLaNK And Sapta: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 21, 2015",09:00 PM AM Onwards
Vatican Museums 3D,Films,Phoenix Market City, Whitefield,"Mar 21, 2015",04:00 PM AM Onwards
Illa Andre Ide,Standup & Theater,Seva Sadan, Malleshwaram,"Mar 22, 2015",07:30 PM AM Onwards
Navya Kanyeyaru,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 22, 2015",07:30 PM AM Onwards
Pitcher Perfect,Standup & Theater,The Big Pitcher, Kodihalli,"Mar 22, 2015",08:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Ladies Night - DJ Cyrus & DJ Jeff,Nightlife - ,Xtreme Sports Bar - Kammanhalli,Kammanahalli,Mar 19,
Ladies Night - DJ Vicky,Nightlife - ,I-Bar - The Park,M.G Road,Mar 19,
Hip House Night with DJ Tashi,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 19,
Krishna Premi-In love & Devotion - Dance Festival,Music & Concerts - ,"Seva Sadana, Malleshwaram",Malleswaram,Mar 19 - Mar 20,
